SAFETY_NO,SAFETY_CODE,SAFETY_NM,SAFETY_ADDR,SAFETY_EMD,SAFETY_LONG,SAFETY_LAT,SAFETY_X,SAFETY_Y,SAFETY_GEOM
SFT0014802,약국,팰리스약국,서울특별시 마포구 마포대로 143 (공덕동),,126.95314328592076,37.54746566981306,14132359.265194198,4515693.664044994,
SFT0014803,약국,평화약국,"서울특별시 마포구 양화로 64, 서교제일빌딩 2층 202호 (서교동)",,126.9158048087,37.550309669,14128202.764922986,4516092.981797469,
SFT0014804,약국,포도약국,"서울특별시 마포구 마포대로 44, 진도빌딩 1층 (도화동)",,126.947098319374,37.539973013511,14131686.34259635,4514641.714641749,
SFT0014951,약국,푸른약국,"서울특별시 마포구 마포대로 190, 1층 (공덕동)",,126.9557926352,37.5509188621,14132654.189406894,4516178.518831294,
SFT0014952,약국,프라자약국,"서울특별시 마포구 신촌로 238, 1층 (아현동)",,126.9521448584848,37.5569180806922,14132248.120760432,4517020.908732457,
SFT0014953,약국,피크약국,"서울특별시 마포구 양화로 61, 두암빌딩 1층 (서교동)",,126.915070906412,37.5508291995608,14128121.067293992,4516165.9292363385,
SFT0014954,약국,하늘약국,"서울특별시 마포구 독막로 2, 2층 (합정동)",,126.91361745846615,37.54846999309862,14127959.270208765,4515834.67645101,
SFT0014955,약국,하임온누리약국,"서울특별시 마포구 도화길 43, 108호 (도화동, 나눔빌딩)",,126.9502535448,37.541787737,14132037.58068411,4514896.487384664,
SFT0014956,약국,한마음약국,"서울특별시 마포구 마포대로24길 4, 공덕자이아파트 상가 상가1동 105호 (아현동)",,126.95789571307446,37.554152411648005,14132888.30296498,4516632.554452505,
SFT0014957,약국,한사랑약국,"서울특별시 마포구 망원로 78, 1층 (망원동)",,126.9055296211739,37.55730444373851,14127058.936279776,4517075.162843725,
SFT0014958,약국,한우리약국,"서울특별시 마포구 망원로 73, 1층 (망원동)",,126.90501778197742,37.55752748036712,14127001.958601054,4517106.482359563,
SFT0015016,약국,한유약국,"서울특별시 마포구 백범로 96, (대흥동)",,126.94204772766722,37.54764048458302,14131124.113299346,4515718.208844969,
SFT0015017,약국,합정365약국,"서울특별시 마포구 독막로 14, 1층 (합정동)",,126.914924028909,37.5484287443146,14128104.71696515,4515828.884861848,
SFT0015018,약국,합정녹십자약국,"서울특별시 마포구 독막로 22, 청명빌딩 1층 (합정동)",,126.915793674144,37.5482366441113,14128201.525429882,4515801.912825206,
